"id","Prediction"
1,"Atropello"
2,"Atropello"
3,"Atropello"
4,"Atropello"
5,"Atropello"
6,"Atropello"
7,"Atropello"
8,"Atropello"
9,"Atropello"
10,"Atropello"
11,"Atropello"
12,"Atropello"
13,"Atropello"
14,"Atropello"
15,"Atropello"
16,"Atropello"
17,"Atropello"
18,"Atropello"
19,"Atropello"
20,"Atropello"
21,"Atropello"
22,"Atropello"
23,"Atropello"
24,"Atropello"
25,"Atropello"
26,"Atropello"
27,"Atropello"
28,"Atropello"
29,"Atropello"
30,"Atropello"
31,"Atropello"
32,"Atropello"
33,"Atropello"
34,"Atropello"
35,"Atropello"
36,"Atropello"
37,"Atropello"
38,"Atropello"
39,"Atropello"
40,"Atropello"
41,"Atropello"
42,"Atropello"
43,"Atropello"
44,"Atropello"
45,"Atropello"
46,"Atropello"
47,"Atropello"
48,"Atropello"
49,"Atropello"
50,"Atropello"
51,"Atropello"
52,"Atropello"
53,"Atropello"
54,"Atropello"
55,"Atropello"
56,"Atropello"
57,"Atropello"
58,"Atropello"
59,"Atropello"
60,"Atropello"
61,"Atropello"
62,"Atropello"
63,"Atropello"
64,"Atropello"
65,"Atropello"
66,"Atropello"
67,"Atropello"
68,"Atropello"
69,"Atropello"
70,"Atropello"
71,"Atropello"
72,"Atropello"
73,"Atropello"
74,"Atropello"
75,"Atropello"
76,"Atropello"
77,"Atropello"
78,"Atropello"
79,"Atropello"
80,"Atropello"
81,"Atropello"
82,"Atropello"
83,"Atropello"
84,"Atropello"
85,"Atropello"
86,"Atropello"
87,"Atropello"
88,"Atropello"
89,"Atropello"
90,"Atropello"
91,"Atropello"
92,"Atropello"
93,"Atropello"
94,"Atropello"
95,"Atropello"
96,"Atropello"
97,"Atropello"
98,"Atropello"
99,"Atropello"
100,"Atropello"
101,"Atropello"
102,"Atropello"
103,"Atropello"
104,"Atropello"
105,"Atropello"
106,"Atropello"
107,"Atropello"
108,"Atropello"
109,"Atropello"
110,"Atropello"
111,"Atropello"
112,"Atropello"
113,"Atropello"
114,"Atropello"
115,"Atropello"
116,"Atropello"
117,"Atropello"
118,"Atropello"
119,"Atropello"
120,"Atropello"
121,"Atropello"
122,"Atropello"
123,"Atropello"
124,"Atropello"
125,"Atropello"
126,"Atropello"
127,"Atropello"
128,"Atropello"
129,"Atropello"
130,"Atropello"
131,"Atropello"
132,"Atropello"
133,"Atropello"
134,"Atropello"
135,"Atropello"
136,"Atropello"
137,"Atropello"
138,"Atropello"
